condition,order,completion_rate,safe_completion_rate,escalation_rate,unsafe_action_rate
BASE,0,0.02490234375,0.0,0.0,0.02490234375
R,1,0.02490234375,0.0,0.0,0.02490234375
I,1,0.064453125,0.0,0.0,0.064453125
A,1,0.02490234375,0.0,0.0,0.02490234375
L,1,0.27734375,0.27734375,0.17626953125,0.0
RI,2,0.185546875,0.05615234375,0.0,0.12939453125
RA,2,0.02490234375,0.0,0.0,0.02490234375
RL,2,0.27734375,0.27734375,0.17626953125,0.0
IA,2,0.33740234375,0.12890625,0.0,0.20849609375
IL,2,0.46044921875,0.46044921875,0.17626953125,0.0
AL,2,0.27734375,0.27734375,0.17626953125,0.0
RIA,3,0.46484375,0.18505859375,0.0,0.27978515625
RIL,3,0.587890625,0.587890625,0.17626953125,0.0
RAL,3,0.27734375,0.27734375,0.17626953125,0.0
IAL,3,0.8447265625,0.8447265625,0.17626953125,0.0
RIAL,4,1.0,1.0,0.17626953125,0.0
