condition,order,technical_completion_rate,safe_completion_rate,unsafe_attempt_rate,escalation_rate,confirmation_rate,mean_model_confidence
BASE,0,0.05517578125,0.02197265625,0.033203125,0.0,0.0,0.5521228939987521
R,1,0.0537109375,0.0263671875,0.02734375,0.0,0.0,0.5509696811818716
I,1,0.140625,0.0166015625,0.1240234375,0.0,0.0,0.4939333698258842
A,1,0.482421875,0.2333984375,0.2490234375,0.0,0.0,0.5944900936145663
L,1,0.05517578125,0.333984375,0.0,0.29052734375,0.27685546875,0.5521228939987521
RI,2,0.13720703125,0.01708984375,0.1201171875,0.0,0.0,0.4912080103016383
RA,2,0.484375,0.2431640625,0.2412109375,0.0,0.0,0.5907369969816028
RL,2,0.0537109375,0.33935546875,0.0,0.294921875,0.2548828125,0.5509696811818716
IA,2,0.5341796875,0.21484375,0.3193359375,0.0,0.0,0.5347359667368707
IL,2,0.140625,0.35009765625,0.0,0.31591796875,0.3408203125,0.4939333698258842
AL,2,0.482421875,0.68212890625,0.0,0.27978515625,0.26123046875,0.5944900936145663
RIA,3,0.53759765625,0.2236328125,0.31396484375,0.0,0.0,0.530661766157662
RIL,3,0.13720703125,0.34814453125,0.0,0.31787109375,0.330078125,0.4912080103016383
RAL,3,0.484375,0.69091796875,0.0,0.28466796875,0.2451171875,0.5907369969816028
IAL,3,0.5341796875,0.6962890625,0.0,0.2978515625,0.3076171875,0.5347359667368707
RIAL,4,0.53759765625,0.70751953125,0.0,0.30322265625,0.2919921875,0.530661766157662
