seed,full_safe,baseline_safe,no_rules_safe,no_rules_unsafe,order3_error,higher_order_mass
4001,0.732421875,0.021484375,0.2353515625,0.3212890625,0.0087890625,0.205078125
4002,0.75,0.0224609375,0.2197265625,0.35546875,0.001953125,0.2275390625
4003,0.7373046875,0.02734375,0.234375,0.322265625,0.0224609375,0.2177734375
4004,0.7119140625,0.0244140625,0.212890625,0.322265625,0.0087890625,0.2001953125
4005,0.74609375,0.021484375,0.220703125,0.345703125,0.015625,0.25390625
4006,0.740234375,0.0244140625,0.2333984375,0.3310546875,0.001953125,0.2353515625
4007,0.7080078125,0.03125,0.2041015625,0.3154296875,0.0126953125,0.23046875
4008,0.7158203125,0.0205078125,0.208984375,0.333984375,0.00390625,0.185546875
4009,0.74609375,0.0244140625,0.2294921875,0.3349609375,0.0009765625,0.2333984375
4010,0.7265625,0.021484375,0.201171875,0.3544921875,0.0068359375,0.2373046875
