condition,order,safe_decision_accuracy,productive_completion_rate,correct_escalation_rate,unsafe_attempt_rate,action_coverage
BASE,0,0.0625,0.0,0.0625,0.9375,0.9375
R,1,0.0625,0.0,0.0625,0.9375,0.9375
I,1,0.25,0.25,0.0,0.75,1.0
A,1,0.0,0.0,0.0,0.875,0.875
L,1,0.25,0.0,0.25,0.75,0.75
RI,2,0.3125,0.25,0.0625,0.6875,0.9375
RA,2,0.0,0.0,0.0,1.0,1.0
RL,2,0.25,0.0,0.25,0.75,0.75
IA,2,0.25,0.25,0.0,0.25,0.875
IL,2,0.375,0.1875,0.1875,0.5625,0.75
AL,2,0.25,0.0,0.25,0.75,0.75
RIA,3,0.4166666666666667,0.4166666666666667,0.0,0.25,1.0
RIL,3,0.375,0.1875,0.1875,0.5625,0.75
RAL,3,0.25,0.0,0.25,0.75,0.75
IAL,3,0.25,0.1875,0.0625,0.1875,0.75
RIAL,4,0.3125,0.25,0.0625,0.1875,0.75
